"source","lib1","sink","lib2"
"getMessage(...)","org.openscoring.common.SimpleResponse","warn(...)","org.slf4j.Logger"
"new (...)","<anonymous class>","execute(...)","org.openscoring.client.ModelApplication"
"getDelimiterChar(...)","org.openscoring.client.CsvEvaluator","queryParam(...)","javax.ws.rs.client.WebTarget"
"getQuoteChar(...)","org.openscoring.client.CsvEvaluator","queryParam(...)","javax.ws.rs.client.WebTarget"
"getInput(...)","org.openscoring.client.CsvEvaluator","new FileInputStream(...)","java.io.FileInputStream"
"getOutput(...)","org.openscoring.client.CsvEvaluator","new FileOutputStream(...)","java.io.FileOutputStream"
"ensureSuffix(...)","org.openscoring.client.CsvEvaluator","target(...)","javax.ws.rs.client.Client"
"getModel(...)","org.openscoring.client.ModelApplication","target(...)","javax.ws.rs.client.Client"
"deploy(...)","org.openscoring.client.Deployer","info(...)","org.slf4j.Logger"
"getMessage(...)","org.openscoring.common.SimpleResponse","warn(...)","org.slf4j.Logger"
"new (...)","<anonymous class>","execute(...)","org.openscoring.client.ModelApplication"
"getFile(...)","org.openscoring.client.Deployer","new FileInputStream(...)","java.io.FileInputStream"
"getContentEncoding(...)","org.openscoring.client.Deployer","new Variant(...)","javax.ws.rs.core.Variant"
"execute(...)","org.openscoring.client.ModelApplication","info(...)","org.slf4j.Logger"
"getDir(...)","org.openscoring.client.DirectoryDeployer","newDirectoryStream(...)","java.nio.file.Files"
"getModelCollection(...)","org.openscoring.client.DirectoryDeployer","target(...)","javax.ws.rs.client.Client"
"getModelCollection(...)","org.openscoring.client.DirectoryDeployer","target(...)","javax.ws.rs.client.Client"
"evaluate(...)","org.openscoring.client.Evaluator","info(...)","org.slf4j.Logger"
"getMessage(...)","org.openscoring.common.SimpleResponse","warn(...)","org.slf4j.Logger"
"new (...)","<anonymous class>","execute(...)","org.openscoring.client.ModelApplication"
"new EvaluationRequest(...)","org.openscoring.common.EvaluationRequest","json(...)","javax.ws.rs.client.Entity<>"
"getArguments(...)","org.openscoring.client.Evaluator","setArguments(...)","org.openscoring.common.EvaluationRequest"
"execute(...)","org.openscoring.client.ModelApplication","info(...)","org.slf4j.Logger"
"new ClientConfig(...)","org.glassfish.jersey.client.ClientConfig","newClient(...)","javax.ws.rs.client.ClientBuilder"
"getURI(...)","org.openscoring.client.ModelApplication","target(...)","javax.ws.rs.client.Client"
"perform(...)","org.openscoring.client.Operation<V>","info(...)","org.slf4j.Logger"
