"source","lib1","sink","lib2"
"reflectionToString(...)","org.apache.commons.lang.builder.ToStringBuilder","info(...)","org.slf4j.Logger"
"join(...)","com.google.common.base.Joiner","append(...)","java.lang.StringBuffer"
"skipNulls(...)","com.google.common.base.Joiner","append(...)","java.lang.StringBuffer"
"on(...)","com.google.common.base.Joiner","append(...)","java.lang.StringBuffer"
"new AccessMode(...)","com.github.dockerjava.api.model.AccessMode","equals(...)","java.lang.Enum<AccessMode>"
"getRegistryAddress(...)","com.github.dockerjava.api.model.AuthConfig","put(...)","java.util.Map<String,AuthConfig>"
"new Bind(...)","com.github.dockerjava.api.model.Bind","add(...)","java.util.List<Bind>"
"new Bind(...)","com.github.dockerjava.api.model.Bind","add(...)","java.util.List<Bind>"
"getPropagationMode(...)","com.github.dockerjava.api.model.Bind","append(...)","org.apache.commons.lang.builder.EqualsBuilder"
"getNoCopy(...)","com.github.dockerjava.api.model.Bind","append(...)","org.apache.commons.lang.builder.EqualsBuilder"
"getSecMode(...)","com.github.dockerjava.api.model.Bind","append(...)","org.apache.commons.lang.builder.EqualsBuilder"
"getAccessMode(...)","com.github.dockerjava.api.model.Bind","append(...)","org.apache.commons.lang.builder.EqualsBuilder"
"getVolume(...)","com.github.dockerjava.api.model.Bind","append(...)","org.apache.commons.lang.builder.EqualsBuilder"
"getPath(...)","com.github.dockerjava.api.model.Bind","append(...)","org.apache.commons.lang.builder.EqualsBuilder"
"getPath(...)","com.github.dockerjava.api.model.Volume","format(...)","java.lang.String"
"getPath(...)","com.github.dockerjava.api.model.Volume","writeString(...)","com.fasterxml.jackson.core.JsonGenerator"
"toString(...)","com.github.dockerjava.api.model.SELContext","format(...)","java.lang.String"
"toString(...)","com.github.dockerjava.api.model.SELContext","writeString(...)","com.fasterxml.jackson.core.JsonGenerator"
"toString(...)","com.github.dockerjava.api.model.PropagationMode","format(...)","java.lang.String"
"toString(...)","com.github.dockerjava.api.model.PropagationMode","writeString(...)","com.fasterxml.jackson.core.JsonGenerator"
"toString(...)","com.github.dockerjava.api.model.Bind","writeString(...)","com.fasterxml.jackson.core.JsonGenerator"
"parse(...)","com.github.dockerjava.api.model.Bind","add(...)","java.util.List<Bind>"
"asText(...)","com.fasterxml.jackson.databind.JsonNode","this(...)","com.github.dockerjava.api.model.Bind"
"asText(...)","com.fasterxml.jackson.databind.JsonNode","this(...)","com.github.dockerjava.api.model.Bind"
"asText(...)","com.fasterxml.jackson.databind.JsonNode","this(...)","com.github.dockerjava.api.model.Bind"
"asText(...)","com.fasterxml.jackson.databind.JsonNode","new Bind(...)","com.github.dockerjava.api.model.Bind"
"asText(...)","com.fasterxml.jackson.databind.JsonNode","new Volume(...)","com.github.dockerjava.api.model.Volume"
"asText(...)","com.fasterxml.jackson.databind.JsonNode","valueOf(...)","com.github.dockerjava.api.model.AccessMode"
"asText(...)","com.fasterxml.jackson.databind.JsonNode","equals(...)","java.lang.String"
"asText(...)","com.fasterxml.jackson.databind.JsonNode","equals(...)","java.lang.String"
"asText(...)","com.fasterxml.jackson.databind.JsonNode","equals(...)","java.lang.String"
"asText(...)","com.fasterxml.jackson.databind.JsonNode","equals(...)","java.lang.String"
"asText(...)","com.fasterxml.jackson.databind.JsonNode","fromString(...)","com.github.dockerjava.api.model.SELContext"
"asText(...)","com.fasterxml.jackson.databind.JsonNode","new Bind(...)","com.github.dockerjava.api.model.Bind"
"asText(...)","com.fasterxml.jackson.databind.JsonNode","new Volume(...)","com.github.dockerjava.api.model.Volume"
"asText(...)","com.fasterxml.jackson.databind.JsonNode","new IllegalArgumentException(...)","java.lang.IllegalArgumentException"
"asText(...)","com.fasterxml.jackson.databind.JsonNode","parse(...)","com.github.dockerjava.api.model.Bind"
"getPathOnHost(...)","com.github.dockerjava.api.model.Device","append(...)","org.apache.commons.lang.builder.EqualsBuilder"
"getPathInContainer(...)","com.github.dockerjava.api.model.Device","append(...)","org.apache.commons.lang.builder.EqualsBuilder"
"getcGroupPermissions(...)","com.github.dockerjava.api.model.Device","append(...)","org.apache.commons.lang.builder.EqualsBuilder"
"reflectionToString(...)","org.apache.commons.lang.builder.ToStringBuilder","debug(...)","org.slf4j.Logger"
"values(...)","com.github.dockerjava.api.model.EventType","put(...)","java.util.Map<String,EventType>"
"new ExposedPort(...)","com.github.dockerjava.api.model.ExposedPort","add(...)","java.util.List<ExposedPort>"
"new ExposedPort(...)","com.github.dockerjava.api.model.ExposedPort","containsKey(...)","java.util.Map<ExposedPort,Binding[]>"
"new ExposedPort(...)","com.github.dockerjava.api.model.ExposedPort","get(...)","java.util.Map<ExposedPort,Binding[]>"
"new ExposedPort(...)","com.github.dockerjava.api.model.ExposedPort","put(...)","java.util.Map<ExposedPort,Binding[]>"
"new ExposedPort(...)","com.github.dockerjava.api.model.ExposedPort","put(...)","java.util.Map<ExposedPort,Binding[]>"
"new ExposedPort(...)","com.github.dockerjava.api.model.ExposedPort","put(...)","java.util.Map<ExposedPort,Binding[]>"
"new ExposedPort(...)","com.github.dockerjava.api.model.ExposedPort","add(...)","java.util.List<ExposedPort>"
"new ExposedPort(...)","com.github.dockerjava.api.model.ExposedPort","containsKey(...)","java.util.Map<ExposedPort,Binding[]>"
"new ExposedPort(...)","com.github.dockerjava.api.model.ExposedPort","get(...)","java.util.Map<ExposedPort,Binding[]>"
"new ExposedPort(...)","com.github.dockerjava.api.model.ExposedPort","put(...)","java.util.Map<ExposedPort,Binding[]>"
"new ExposedPort(...)","com.github.dockerjava.api.model.ExposedPort","put(...)","java.util.Map<ExposedPort,Binding[]>"
"new ExposedPort(...)","com.github.dockerjava.api.model.ExposedPort","put(...)","java.util.Map<ExposedPort,Binding[]>"
"toString(...)","com.github.dockerjava.api.model.InternetProtocol","writeFieldName(...)","com.fasterxml.jackson.core.JsonGenerator"
"toString(...)","com.github.dockerjava.api.model.InternetProtocol","writeFieldName(...)","com.fasterxml.jackson.core.JsonGenerator"
"toString(...)","com.github.dockerjava.api.model.InternetProtocol","writeFieldName(...)","com.fasterxml.jackson.core.JsonGenerator"
"getPort(...)","com.github.dockerjava.api.model.ExposedPort","append(...)","org.apache.commons.lang.builder.EqualsBuilder"
"getProtocol(...)","com.github.dockerjava.api.model.ExposedPort","append(...)","org.apache.commons.lang.builder.EqualsBuilder"
"toString(...)","com.github.dockerjava.api.model.ExposedPort","writeFieldName(...)","com.fasterxml.jackson.core.JsonGenerator"
"toString(...)","com.github.dockerjava.api.model.ExposedPort","writeFieldName(...)","com.fasterxml.jackson.core.JsonGenerator"
"parse(...)","com.github.dockerjava.api.model.ExposedPort","add(...)","java.util.List<ExposedPort>"
"new Link(...)","com.github.dockerjava.api.model.Link","add(...)","java.util.List<Link>"
"getAlias(...)","com.github.dockerjava.api.model.Link","append(...)","org.apache.commons.lang.builder.EqualsBuilder"
"getName(...)","com.github.dockerjava.api.model.Link","append(...)","org.apache.commons.lang.builder.EqualsBuilder"
"toString(...)","com.github.dockerjava.api.model.Link","writeString(...)","com.fasterxml.jackson.core.JsonGenerator"
"parse(...)","com.github.dockerjava.api.model.Link","add(...)","java.util.List<Link>"
"asText(...)","com.fasterxml.jackson.databind.JsonNode","new Link(...)","com.github.dockerjava.api.model.Link"
"asText(...)","com.fasterxml.jackson.databind.JsonNode","new IllegalArgumentException(...)","java.lang.IllegalArgumentException"
"asText(...)","com.fasterxml.jackson.databind.JsonNode","parse(...)","com.github.dockerjava.api.model.Link"
"values(...)","com.github.dockerjava.api.model.LocalNodeState","put(...)","java.util.Map<String,LocalNodeState>"
"splitByWholeSeparator(...)","org.apache.commons.lang.StringUtils","this(...)","com.github.dockerjava.api.model.ExposedPort"
"splitByWholeSeparator(...)","org.apache.commons.lang.StringUtils","new ExposedPort(...)","com.github.dockerjava.api.model.ExposedPort"
"splitByWholeSeparator(...)","org.apache.commons.lang.StringUtils","parseInt(...)","java.lang.Integer"
"splitByWholeSeparator(...)","org.apache.commons.lang.StringUtils","new ExposedPort(...)","com.github.dockerjava.api.model.ExposedPort"
"splitByWholeSeparator(...)","org.apache.commons.lang.StringUtils","parseInt(...)","java.lang.Integer"
"splitByWholeSeparator(...)","org.apache.commons.lang.StringUtils","parse(...)","com.github.dockerjava.api.model.InternetProtocol"
"splitByWholeSeparator(...)","org.apache.commons.lang.StringUtils","new IllegalArgumentException(...)","java.lang.IllegalArgumentException"
"splitByWholeSeparator(...)","org.apache.commons.lang.StringUtils","valueOf(...)","com.github.dockerjava.api.model.InternetProtocol"
"splitByWholeSeparator(...)","org.apache.commons.lang.StringUtils","new IllegalArgumentException(...)","java.lang.IllegalArgumentException"
"splitByWholeSeparator(...)","org.apache.commons.lang.StringUtils","createFromSubstrings(...)","com.github.dockerjava.api.model.PortBinding"
"splitByWholeSeparator(...)","org.apache.commons.lang.StringUtils","createFromSubstrings(...)","com.github.dockerjava.api.model.PortBinding"
"splitByWholeSeparator(...)","org.apache.commons.lang.StringUtils","createFromSubstrings(...)","com.github.dockerjava.api.model.PortBinding"
"splitByWholeSeparator(...)","org.apache.commons.lang.StringUtils","parse(...)","com.github.dockerjava.api.model.Ports$Binding"
"splitByWholeSeparator(...)","org.apache.commons.lang.StringUtils","parse(...)","com.github.dockerjava.api.model.ExposedPort"
"splitByWholeSeparator(...)","org.apache.commons.lang.StringUtils","new Binding(...)","com.github.dockerjava.api.model.Ports$Binding"
"splitByWholeSeparator(...)","org.apache.commons.lang.StringUtils","new Binding(...)","com.github.dockerjava.api.model.Ports$Binding"
"splitByWholeSeparator(...)","org.apache.commons.lang.StringUtils","new Binding(...)","com.github.dockerjava.api.model.Ports$Binding"
"splitByWholeSeparator(...)","org.apache.commons.lang.StringUtils","bindIp(...)","com.github.dockerjava.api.model.Ports$Binding"
"splitByWholeSeparator(...)","org.apache.commons.lang.StringUtils","bindPortSpec(...)","com.github.dockerjava.api.model.Ports$Binding"
"splitByWholeSeparator(...)","org.apache.commons.lang.StringUtils","new IllegalArgumentException(...)","java.lang.IllegalArgumentException"
"getExposedPort(...)","com.github.dockerjava.api.model.PortBinding","append(...)","org.apache.commons.lang.builder.EqualsBuilder"
"getBinding(...)","com.github.dockerjava.api.model.PortBinding","append(...)","org.apache.commons.lang.builder.EqualsBuilder"
"add(...)","org.apache.commons.lang.ArrayUtils","put(...)","java.util.Map<ExposedPort,Binding[]>"
"getExposedPort(...)","com.github.dockerjava.api.model.PortBinding","containsKey(...)","java.util.Map<ExposedPort,Binding[]>"
"getExposedPort(...)","com.github.dockerjava.api.model.PortBinding","get(...)","java.util.Map<ExposedPort,Binding[]>"
"getExposedPort(...)","com.github.dockerjava.api.model.PortBinding","put(...)","java.util.Map<ExposedPort,Binding[]>"
"getExposedPort(...)","com.github.dockerjava.api.model.PortBinding","put(...)","java.util.Map<ExposedPort,Binding[]>"
"getExposedPort(...)","com.github.dockerjava.api.model.PortBinding","put(...)","java.util.Map<ExposedPort,Binding[]>"
"getBinding(...)","com.github.dockerjava.api.model.PortBinding","add(...)","org.apache.commons.lang.ArrayUtils"
"getBinding(...)","com.github.dockerjava.api.model.PortBinding","put(...)","java.util.Map<ExposedPort,Binding[]>"
"getHostPortSpec(...)","com.github.dockerjava.api.model.Ports$Binding","append(...)","org.apache.commons.lang.builder.EqualsBuilder"
"getHostIp(...)","com.github.dockerjava.api.model.Ports$Binding","append(...)","org.apache.commons.lang.builder.EqualsBuilder"
"parse(...)","com.github.dockerjava.api.model.ExposedPort","containsKey(...)","java.util.Map<ExposedPort,Binding[]>"
"parse(...)","com.github.dockerjava.api.model.ExposedPort","get(...)","java.util.Map<ExposedPort,Binding[]>"
"parse(...)","com.github.dockerjava.api.model.ExposedPort","put(...)","java.util.Map<ExposedPort,Binding[]>"
"parse(...)","com.github.dockerjava.api.model.ExposedPort","put(...)","java.util.Map<ExposedPort,Binding[]>"
"parse(...)","com.github.dockerjava.api.model.ExposedPort","put(...)","java.util.Map<ExposedPort,Binding[]>"
"textValue(...)","com.fasterxml.jackson.databind.JsonNode","isEmpty(...)","org.apache.commons.lang.StringUtils"
"textValue(...)","com.fasterxml.jackson.databind.JsonNode","new Binding(...)","com.github.dockerjava.api.model.Ports$Binding"
"textValue(...)","com.fasterxml.jackson.databind.JsonNode","new Binding(...)","com.github.dockerjava.api.model.Ports$Binding"
"parse(...)","com.github.dockerjava.api.model.ExposedPort","containsKey(...)","java.util.Map<ExposedPort,Binding[]>"
"parse(...)","com.github.dockerjava.api.model.ExposedPort","get(...)","java.util.Map<ExposedPort,Binding[]>"
"parse(...)","com.github.dockerjava.api.model.ExposedPort","put(...)","java.util.Map<ExposedPort,Binding[]>"
"parse(...)","com.github.dockerjava.api.model.ExposedPort","put(...)","java.util.Map<ExposedPort,Binding[]>"
"parse(...)","com.github.dockerjava.api.model.ExposedPort","put(...)","java.util.Map<ExposedPort,Binding[]>"
"new Binding(...)","com.github.dockerjava.api.model.Ports$Binding","add(...)","org.apache.commons.lang.ArrayUtils"
"new Binding(...)","com.github.dockerjava.api.model.Ports$Binding","put(...)","java.util.Map<ExposedPort,Binding[]>"
"toString(...)","com.github.dockerjava.api.model.ExposedPort","writeFieldName(...)","com.fasterxml.jackson.core.JsonGenerator"
"getHostIp(...)","com.github.dockerjava.api.model.Ports$Binding","writeStringField(...)","com.fasterxml.jackson.core.JsonGenerator"
"getHostPortSpec(...)","com.github.dockerjava.api.model.Ports$Binding","writeStringField(...)","com.fasterxml.jackson.core.JsonGenerator"
"getSpaceReclaimed(...)","com.github.dockerjava.api.model.PruneResponse","append(...)","java.lang.StringBuilder"
"getName(...)","com.github.dockerjava.api.model.Ulimit","append(...)","org.apache.commons.lang.builder.EqualsBuilder"
"reflectionToString(...)","org.apache.commons.lang.builder.ToStringBuilder","debug(...)","org.slf4j.Logger"
"reflectionToString(...)","org.apache.commons.lang.builder.ToStringBuilder","debug(...)","org.slf4j.Logger"
"reflectionToString(...)","org.apache.commons.lang.builder.ToStringBuilder","debug(...)","org.slf4j.Logger"
"getName(...)","com.github.dockerjava.api.model.RestartPolicy","append(...)","org.apache.commons.lang.builder.EqualsBuilder"
"getMaximumRetryCount(...)","com.github.dockerjava.api.model.RestartPolicy","append(...)","org.apache.commons.lang.builder.EqualsBuilder"
"new StreamType(...)","com.github.dockerjava.api.model.StreamType","equals(...)","java.lang.Enum<StreamType>"
"new StreamType(...)","com.github.dockerjava.api.model.StreamType","equals(...)","java.lang.Enum<StreamType>"
"new StreamType(...)","com.github.dockerjava.api.model.StreamType","equals(...)","java.lang.Enum<StreamType>"
"toIndentedString(...)","com.github.dockerjava.api.model.Task","append(...)","java.lang.StringBuilder"
"toIndentedString(...)","com.github.dockerjava.api.model.Task","append(...)","java.lang.StringBuilder"
"toIndentedString(...)","com.github.dockerjava.api.model.Task","append(...)","java.lang.StringBuilder"
"toIndentedString(...)","com.github.dockerjava.api.model.Task","append(...)","java.lang.StringBuilder"
"toIndentedString(...)","com.github.dockerjava.api.model.Task","append(...)","java.lang.StringBuilder"
"toIndentedString(...)","com.github.dockerjava.api.model.Task","append(...)","java.lang.StringBuilder"
